radius_m,manipulability,ee_x,ee_y,ee_z
0.7842,0.062672,-0.2,0.1324,0.865
0.5649,0.066197,0.7077,-0.0238,0.6749
0.7888,0.051861,0.6669,0.4777,0.7892
0.507,0.069446,0.3046,-0.3911,0.6066
0.9937,0.070802,-0.1976,0.2363,1.1035
0.7678,0.044691,0.7263,-0.437,0.7525
1.0072,0.104846,0.5429,-0.0039,1.2586
0.8771,0.085232,-0.0564,0.6049,0.799
0.4546,0.012929,0.3334,-0.1134,0.72
0.9388,0.091886,1.1003,0.0838,0.77
0.4422,0.028454,0.007,-0.0685,0.6009
0.921,0.03827,0.5452,-0.2566,1.132
0.9696,0.116292,0.065,-0.4748,1.0927
0.7443,0.103572,0.5138,0.3686,0.8897
0.9143,0.06395,0.908,-0.1284,0.9551
0.8938,0.033975,0.6102,0.1836,1.0987
0.8259,0.082214,0.0283,0.5659,0.8111
0.9887,0.03311,0.1502,-0.0368,1.256
0.3558,0.017507,0.0068,0.0403,0.4703
0.5281,0.057736,0.1688,0.3876,0.6082
0.5934,0.047483,0.5619,-0.1651,0.7895
0.9102,0.109671,0.0836,-0.3209,1.1039
1.1338,0.046917,0.1565,0.1502,1.3936
1.0872,0.064849,0.8026,0.162,1.232
0.6274,0.11834,0.7344,0.4322,0.4174
0.9037,0.08923,0.8805,-0.2657,0.9249
0.7913,0.083778,1.0487,0.2126,0.4389
0.9744,0.093488,-0.2372,-0.2513,1.0512
0.72,0.066011,0.5841,-0.1868,0.9175
0.7476,0.067039,0.4336,-0.4494,0.8658
0.7824,0.084569,0.7639,0.5723,0.5436
0.9987,0.027612,0.0664,0.1028,1.2441
0.6322,0.062681,0.772,-0.1304,0.6858
0.9669,0.065233,0.8425,0.1523,1.068
0.7591,0.098336,-0.3074,-0.1311,0.711
0.6313,0.075763,0.5232,0.2805,0.7997
0.3552,0.055026,0.0521,-0.2363,0.3711
0.5701,0.067442,-0.0847,-0.164,0.6646
0.2975,0.07054,0.1712,0.2613,0.3089
0.9346,0.041319,0.4547,-0.3835,1.1205
0.7005,0.049855,0.673,0.0964,0.8671
1.0698,0.067737,0.4772,-0.169,1.3227
0.3047,0.029313,0.1344,-0.1651,0.4744
0.2329,0.046334,0.475,-0.155,0.3251
0.5069,0.045848,-0.03,-0.2057,0.603
0.6288,0.037296,0.3789,-0.2578,0.8502
1.0416,0.042976,0.2806,-0.0093,1.3214
0.8777,0.058425,0.1743,-0.029,1.1476
1.0513,0.061942,0.8607,0.3566,1.0961
0.8594,0.047424,-0.0927,0.7297,0.489
0.9045,0.095241,0.7853,0.3906,0.9369
1.0605,0.066316,-0.3002,0.0503,1.1497
0.9742,0.078874,-0.1515,-0.0932,1.1363
0.8837,0.047819,-0.4607,0.3508,0.5456
0.9638,0.029648,0.2292,-0.1833,1.2238
0.7298,0.054844,0.7123,0.5945,0.1867
0.8516,0.103263,-0.2111,-0.5,0.7415
0.8602,0.076004,0.8047,0.404,0.8489
1.0399,0.070992,-0.1871,0.4964,1.0483
0.8283,0.042594,0.1547,-0.3782,1.0033
0.7273,0.044228,0.1769,0.4162,0.8603
0.7289,0.073016,0.1525,0.3037,0.9234
0.6908,0.094821,0.2114,0.6799,0.323
0.8685,0.080936,1.1211,0.0619,0.5674
1.0623,0.039549,0.2724,0.1788,1.3261
0.1992,0.065244,0.5011,-0.0244,0.2573
0.9563,0.089038,0.74,0.5844,0.8959
0.7744,0.099025,0.8322,0.2163,0.8023
0.7654,0.073498,0.3573,-0.2772,0.9928
0.8265,0.141625,0.8887,-0.1828,0.8361
0.8639,0.048041,0.814,0.0243,0.9769
0.92,0.09353,0.8814,-0.5373,0.7577
0.7426,0.11629,0.4001,-0.7356,0.3579
